,Data_accident,Hora_Avis,Via,Data_publicacio,Hora_publicacio,Text_Complet,URL
<p>Arran de la incidència, s’han activat cinc patrulles dels Mossos d’Esquadra, cinc dotacions dels Bombers de la Generalitat, els quals han efectuat tasques d’excarceració, i tres ambulàncies del Sistema d’Emergències Mèdiques (SEM).</p>
<p>Quant a l’afectació viària, s’ha tallat la via en els dos sentits de la marxa i s’han fet desviaments per la calçada lateral. Finalment, a les 11.00 h s’ha restablert completament la circulació en aquest punt.</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p> </p>
<p>20 de juny de 2018</p>
<p>16.05 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20180620_acc_N_240
575," Diumenge, 17 de juny de 2018", 17.19 ," C-31, al punt quilomètric 370 a Torroella de Fluvià (Alt Empordà)",18/06/2018,08:55,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>DIA: Diumenge, 17 de juny de 2018</strong><strong><br/> HORA D'AVÍS: 17.19 h</strong></p>
<p><strong>VIA: C-31, al punt quilomètric 370 a Torroella de Fluvià (Alt Empordà)</strong></p>
<p> </p>
<p>El Servei Català de Trànsit informa que ahir a la tarda es va registrar un sinistre viari mortal a la C-31, al quilòmetre 370, al terme municipal de Torroella de Fluvià <strong>(Alt Empordà).</strong> Els Mossos d’Esquadra van rebre l’avís a les 17.19 h.</p>
<p>Per causes que encara s'estan investigant, es va produir una col·lisió frontal entre dos turismes. Com a conseqüència de la topada, va morir la conductora i única ocupant d’un dels cotxes, D. M. P., de 72 anys i veïna de Cabanes. Pel que fa als ocupants de l’altre vehicle, un va resultar ferit greu i va ser evacuat en helicòpter a l’Hospital Josep Trueta i l’altra va resultar ferida menys greu i també va ser evacuada al mateix hospital, en aquest cas amb ambulància.</p>
<p>Arran de la incidència, es van activar vuit patrulles dels Mossos d’Esquadra, cinc dotacions dels Bombers de la Generalitat, que van haver d’efectuar  tasques d’excarceració, i dues ambulàncies i l’helicòpter medicalitzat del Sistema d’Emergències Mèdiques (SEM).</p>
<p>Quant a l’afectació viària, primer la via es va tallar en tots dos sentits de la marxa i a les 17.30 h es va habilitar pas alternatiu. Finalment, a les 19.20 h es van restablir tots els carrils i a les 21.14 h es van normalitzar les darreres retencions.</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p> </p>
<p>18 de juny de 2018</p>
<p>09.00 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20180617_acc_C31
576," Dissabte, 16 de juny de 2018", 06.34 ," GI-682, al punt quilomètric 7 a Blanes (la Selva)",16/06/2018,14:16,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>DIA: Dissabte, 16 de juny de 2018</strong></p>
<p><strong>HORA D'AVÍS: 06.34 h</strong></p>
<p><strong>VIA: GI-682, al punt quilomètric 7 a Blanes (la Selva)</strong></p>
<p> </p>
<p>El Servei Català de Trànsit informa que aquest matí s’ha registrat un sinistre viari mortal a la GI-682, al quilòmetre 7, al terme municipal de <strong>Blanes</strong> <strong>(la Selva). </strong>Els Mossos d’Esquadra han rebut l’avís a les 06.34 h.</p>
<p>Per causes que encara s'estan investigant, s’ha produït una col·lisió frontal entre una motocicleta i una furgoneta. Com conseqüència de la topada, ha mort la conductora i única ocupant del vehicle de dues rodes, una dona de nacionalitat polonesa.</p>
<p>Arran de la incidència, s’han activat cinc patrulles dels Mossos d’Esquadra i una ambulància del Sistema d’Emergències Mèdiques (SEM).</p>
<p>Quant a l’afectació viària, la GI-682 ha estat tallada en el tram de l’accident en ambdós sentits de la marxa durant aproximadament uns quinze minuts.</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p> </p>
<p>16 de juny de 2018</p>
<p>14.05 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20180616_acc_GI_682
577," Dijous, 14 de juny de 2018", 15.03 ," N-IIa, al punt quilomètric 710,5 a Fornells de la Selva (Gironès)",14/06/2018,15:03,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>DIA: Dijous, 14 de juny de 2018</strong><strong><br/> </strong><strong>HORA D'AVÍS: 15.03 h</strong></p>
<p><strong>VIA: N-IIa, al punt quilomètric 710,5 a Fornells de la Selva (Gironès)</strong></p>
<p> </p>
<p>El Servei Català de Trànsit informa que aquesta tarda s’ha registrat un sinistre viari mortal a l'N-IIa, al quilòmetre 710,5, al terme municipal de <strong>Fornells de la Selva (Gironès). </strong>Els Mossos d’Esquadra han rebut l’avís a les 15.03 h.</p>
<p> </p>
<p>Per causes que encara s'estan investigant, s’ha produït una col·lisió frontal amb dos turismes i un camió formigonera implicats. Com conseqüència de l’accident la conductora d’un dels turismes ha mort i el camió s’ha incendiat. La víctima és una dona de 59 anys, M.B.LL., veïna de la Cellera de Ter (Selva).</p>
<p> </p>
<p>Arran de la incidència, s’han activat sis patrulles dels Mossos d’Esquadra, set dotacions dels Bombers i dues ambulàncies i l’helicòpter medicalitzat del Sistema d’Emergències Mèdiques.</p>
<p> </p>
<p>Quant a l’afectació viària, la carretera ha estat tallada en ambdós sentits de la marxa fins que s’ha restablert el trànsit a les 18.30 h aproximadament.</p>
<p> </p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p> </p>
<p>14 de juny de 2018</p>
<p>19.55 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20180614_n_2a
578," Dimecres, 13 de juny de 2018", 22.39 ," BV-4608, al punt quilomètric 20,8 a Manlleu (Osona)",14/06/2018,08:29,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>DIA: Dimecres, 13 de juny de 2018</strong><strong><br/> </strong><strong>HORA D'AVÍS: 22.39 h</strong></p>
<p><strong>VIA: BV-4608, al punt quilomètric 20,8 a Manlleu (Osona)</strong></p>
<p> </p>
<p>El Servei Català de Trànsit informa que ahir a la nit es va registrar un sinistre viari mortal a la BV-4608, al quilòmetre 20,8, al terme municipal de Manlleu (Osona). Els Mossos d’Esquadra han rebut l’avís a les 22.39 h.</p>
<p>Per causes que encara s'estan investigant, un  turisme va sortir de la via, amb el resultat d’una persona morta, el conductor i únic ocupant del vehicle. La víctima és un home de 36 anys, G.C.H, veí de Sant Hipòlit de Voltregà (Osona).</p>
<p>Arran de la incidència, es van activar tres patrulles dels Mossos d’Esquadra, dues dotacions dels Bombers i tres ambulàncies del Sistema d’Emergències Mèdiques (SEM).</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p>14 de juny de 2018</p>
<p>08:00 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20180614_acc_BV_4608
579," Dilluns, 11 de juny de 2018", 15.39 ," C-244, al punt quilomètric 9,8 a Capellades (l’Anoia)",11/06/2018,19:07,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>DIA: Dilluns, 11 de juny de 2018</strong></p>
<p><strong>HORA D'AVÍS: 15.39 h</strong></p>
<p><strong>VIA: C-244, al punt quilomètric 9,8 a Capellades (l’Anoia)</strong></p>
<p>El Servei Català de Trànsit informa que aquesta tarda s’ha registrat un sinistre viari mortal a la C-244, al quilòmetre 9,8, al terme municipal de <strong>Capellades (l’Anoia). </strong>Els Mossos d’Esquadra han rebut l’avís a les 15.39 h.</p>
<p>Per causes que encara s'estan investigant, hi ha hagut un accident amb una motocicleta implicada i el conductor ha mort. La víctima és un home de 42 anys, A.P.R., veí de Vilanova del Camí (l’Anoia). La passatgera ha resultat ferida greu i ha estat traslladada en helicòpter a l’hospital Sant Joan de Déu d’Esplugues de Llobregat.</p>
<p>Arran de la incidència, s’han activat tres patrulles dels Mossos d’Esquadra, una ambulància i l’helicòpter medicalitzat del Sistema d’Emergències Mèdiques (SEM).</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p> </p>
<p>11 de juny de 2018</p>
<p>19:00  h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20180611_acc_C_244
580," Diumenge, 10 de juny de 2018", 05.53 ," N-340, al punt quilomètric 1.101,2 a l’Ampolla (Baix Ebre)",10/06/2018,15:36,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>DIA: Diumenge, 10 de juny de 2018</strong></p>
<p><strong>HORA D'AVÍS: 05.53 h</strong></p>
<p><strong>VIA: N-340, al punt quilomètric 1.101,2 a l’Ampolla (Baix Ebre)</strong></p>
<p> </p>
<p>El Servei Català de Trànsit informa que aquesta matinada s’ha registrat un sinistre viari mortal a l’N-340, al quilòmetre 1.101,2, al terme municipal de l’Ampolla <strong>(Baix Ebre).</strong> Els Mossos d’Esquadra han rebut l’avís a les 05.53 h.</p>
<p>Per causes que encara s'estan investigant, s’ha produït una col·lisió frontal en la qual s’hi han vist implicats un turisme i dues furgonetes. Com a conseqüència de la topada, han mort els dos ocupants del cotxe, ambdós de nacionalitat romanesa. A més, quatre persones han resultat ferides menys greus. Dues d’elles han estat traslladades a l’hospital d’Amposta i les altres dues, a l’hospital Verge de la Cinta de Tortosa.</p>
<p>Arran de la incidència, s’han activat quatre patrulles dels Mossos d’Esquadra, quatre dotacions dels Bombers de la Generalitat, que han realitzat tasques d’excarceració de les víctimes, i quatre ambulàncies del  Sistema d’Emergències Mèdiques (SEM).</p>
<p>Quant a l’afectació viària, l’N-340 s’ha tallat a l’Ampolla en ambdós sentits i s’han fet desviaments per l’AP-7. Cap a les 08.55 h aproximadament, s’ha pogut obrir un carril en cada sentit de la marxa però s’ha mantingut un carril tallat en direcció Tarragona per tasques de retirada dels vehicles accidentats. La circulació s’ha normalitzat en el tram de la col·lisió cap a les 11.44 h.</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p> </p>
<p>10 de juny de 2018</p>
<p>15.05  h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20180610_acc_N340
581," Dimarts, 5 de juny de 2018", 18.39 ," C-25, al punt quilomètric 146, a Sallent (Bages)",06/06/2018,09:25,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>DIA: Dimarts, 5 de juny de 2018</strong><strong><br/> </strong><strong>HORA D'AVÍS: 18.39 h<br/></strong><strong>VIA: C-25, al punt quilomètric 146, a Sallent (Bages)</strong></p>
<p> </p>
<p>El Servei Català de Trànsit informa que ahir a la tarda es va registrar un sinistre viari mortal a la C-25, al quilòmetre 146, al terme municipal de Sallent (Bages). Els Mossos d’Esquadra van rebre l’avís a les 18.39 h.</p>
<p>Per causes que encara s'estan investigant, hi va haver una col·lisió per encalç entre un camió i un turisme. Com a conseqüència de la topada, van morir dos ocupants del turisme, el passatger davanter, A.R., de 23 anys, i la passatgera posterior N.G., de 18 anys, tots dos de nacionalitat francesa. A més, també van resultar ferides menys greus dues persones, que van ser traslladades a l’Hospital de Manresa.</p>
<p>Arran de la incidència, es van activar quatre patrulles dels Mossos d’Esquadra, tres dotacions dels Bombers de la Generalitat i tres ambulàncies del  Sistema d’Emergències Mèdiques (SEM).</p>
<p>Quant a l’afectació viària, la C-25 va patir restriccions a Sallent en els dos sentits de la marxa (tot i que hi va haver desviaments senyalitzats) i es van registrar aturades d’uns 5 km. Cap a les 19.44 h es va poder reobrir la circulació en direcció Girona. A les 03.42 h de dimecres aproximadament, el trànsit es va restablir en ambdós sentits.</p>
<p> </p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p> </p>
<p>6 de juny de 2018<br/>08.30  h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20180605_acc_c25
582," Dimarts, 5 de juny de 2018", 09.45 ," C-14, al punt quilomètric 158,2, a Coll de Nargó (Alt Urgell) en sentit nord",06/06/2018,09:22,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>DIA: Dimarts, 5 de juny de 2018</strong><strong><br/> </strong><strong>HORA D'AVÍS: 09.45 h<br/></strong><strong>VIA: C-14, al punt quilomètric 158,2, a Coll de Nargó (Alt Urgell) en sentit nord</strong></p>
<p><br/>El Servei Català de Trànsit informa que ahir al matí es va registrar un sinistre viari mortal a la C-14, al quilòmetre 158,2, al terme municipal de Coll de Nargó <strong>(Alt Urgell).</strong> Els Mossos d’Esquadra van rebre l’avís a les 09.45 h.</p>
<p>Per causes que encara s'estan investigant, hi va haver una col·lisió frontal entre un turisme i una motocicleta. Com a conseqüència de la topada, la conductora de la motocicleta va resultar ferida greu i els efectius del Sistema d’Emergències Mèdiques (SEM) la van traslladar a l’hospital Arnau de Vilanova de Lleida, on posteriorment va morir. Es tracta de D.M.H, una dona de 57 anys i de nacionalitat britànica. En el mateix accident, tres persones més van resultar ferides lleus i les van traslladar a l’hospital de la Seu d’Urgell.</p>
<p>Arran de la incidència, es van activar tres patrulles dels Mossos d’Esquadra, tres dotacions dels Bombers de la Generalitat i dues ambulàncies i l’helicòpter del  Sistema d’Emergències Mèdiques.</p>
<p>Quant a l’afectació viària, la C-14 va estar tallada a Coll de Nargó en tots dos sentits fins a les 11.47 h.</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p> </p>
<p>6 de juny de 2018<br/>08.30  </p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20180605_acc_C14
583," Dimarts, 5 de juny de 2018", 13.51 ," C-15, al punt quilomètric 38, a Capellades (Anoia)",05/06/2018,19:56,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>DIA: Dimarts, 5 de juny de 2018</strong><strong><br/> HORA D'AVÍS: 13.51 h</strong></p>
<p><strong>VIA: C-15, al punt quilomètric 38, a Capellades (Anoia)</strong></p>
<p> </p>
<p>El Servei Català de Trànsit informa que aquest migdia s’ha registrat un sinistre viari mortal a la C-15, al quilòmetre 38, al terme municipal de Capellades <strong>(Anoia). </strong>Els Mossos d’Esquadra han rebut l’avís a les 13.51 h.</p>
<p>Per causes que encara s'estan investigant, hi ha hagut una col·lisió entre un  camió i un turisme. Com a conseqüència de la topada, han mort dues persones: el conductor i el passatger posterior del turisme. Es tracta de I.M., un home de 28 anys, nacionalitat marroquina i veí de Sant Sadurní d’Anoia i de J.M.P.V., un home de 43 anys, nacionalitat espanyola i veí d’Igualada, respectivament. A més, el passatger davanter del cotxe, ha resultat ferit greu i ha estat traslladat en l’helicòpter a l’Hospital de Bellvitge. Pel que fa al conductor del camió, ha resultat ferit lleu.</p>
<p>Arran de la incidència, s’han activat sis patrulles dels Mossos d’Esquadra, dues dotacions dels Bombers de la Generalitat, els qual han efectuat tasques d’excarceració i tres unitats i l’helicòpter medicalitzat del  Sistema d’Emergències Mèdiques (SEM).</p>
<p>Quant a l’afectació viària, la via s’ha tallat inicialment en ambdós sentits de la marxa. Posteriorment, s’ha reobert el trànsit en sentit Vilafranca del Penedès i s’ha mantingut tallada en sentit Igualada. La circulació s’ha desviat per l’interior de Capellades, tot i que s’han registrat fins a 3 km de cues a la C-15. Finalment, el trànsit s’ha restablert a les 17.42 h.</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p> </p>
<p>5 de juny de 2018</p>
<p>19.45 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20180605_acc_C15
584, Di, </strong><strong>06.39</strong><strong> , ,30/05/2018,10:16,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>DIA: Di</strong><strong>mecres</strong><strong>, </strong><strong>30</strong><strong> de maig de 2018</strong></p>
<p><strong>HORA D'AVÍS: </strong><strong>06.39</strong><strong> h</strong></p>
<p><strong>VIA: </strong><strong>C-31</strong><strong>, al punt quilomètric </strong><strong>136,9</strong><strong>, </strong><strong>al Vendrell</strong><strong> (</strong><strong>Baix Penedès</strong><strong>)</strong></p>
<p> </p>
<p>El Servei Català de Trànsit informa que aquest matí s’ha registrat un sinistre viari mortal a la C-31, al quilòmetre 136,9, al terme municipal del Vendrell (Baix Penedès). Els Mossos d’Esquadra han rebut l’avís a les 06.39 h.</p>
<p>Per causes que encara s'estan investigant, hi ha hagut una col·lisió entre un turisme i una motocicleta. Com a conseqüència de la topada, el conductor del vehicle de dues rodes, J.A.A.C., de 62 anys i veí del Vendrell, ha mort. La conductora del turisme ha resultat ferida menys greu i ha estat traslladada a l’hospital del Vendrell.</p>
<p>Arran de la incidència, s’han activat cinc patrulles dels Mossos d’Esquadra, dues dotacions dels Bombers de la Generalitat i tres ambulàncies i el servei de suport psicològic del  Sistema d’Emergències Mèdiques (SEM).</p>
<p>Quant a l’afectació viària, la C-31 s’ha tallat al Vendrell en ambdós sentits i s’han fet desviaments per una rotonda propera al tram de la restricció. La via s’ha reobert cap a les 08.32 h</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p> </p>
<p>30 de maig de 2018</p>
<p>10.10 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20180530_acc_C31.html
585, Di, </strong><strong>01.54</strong><strong> , ,29/05/2018,10:44,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>DIA: Di</strong><strong>marts</strong><strong>, </strong><strong>29</strong><strong> de maig de 2018</strong><strong><br/> HORA D'AVÍS: </strong><strong>01.54</strong><strong> h<br/></strong><strong>VIA: </strong><strong>C-14</strong><strong>, al punt quilomètric </strong><strong>3</strong><strong>, a </strong><strong>Reus</strong><strong> (</strong><strong>Baix Camp</strong><strong>)</strong></p>
<p><br/>El Servei Català de Trànsit informa que aquesta matinada s’ha registrat un sinistre viari mortal a la C-14, al quilòmetre 3, al terme municipal de Reus (Baix Camp)<strong>. </strong>Els Mossos d’Esquadra han rebut l’avís a les 01.54 h.</p>
<p>Per causes que encara s'estan investigant, s’ha produït un atropellament mortal d’un vianant per part d’un camió. La víctima és un home de 31 anys i nacionalitat estrangera.</p>
<p>Arran de la incidència, s’han activat tres patrulles dels Mossos d’Esquadra i dues ambulàncies del  Sistema d’Emergències Mèdiques (SEM).</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p> </p>
<p>29 de maig de 2018<br/>10.35 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20180529_acc_c14_Reus
586, , </strong><strong>06</strong><strong>.</strong><strong>19</strong><strong> , C-,27/05/2018,11:11,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>DIA: </strong><strong>Diumenge</strong><strong>, </strong><strong>27</strong><strong> de maig de 2018</strong><strong><br/> HORA D'AVÍS: </strong><strong>06</strong><strong>.</strong><strong>19</strong><strong> h</strong></p>
<p><strong>VIA: C-</strong><strong>25D</strong><strong>, al punt quilomètric </strong><strong>0.</strong><strong>5, a </strong><strong>Vic</strong><strong> (</strong><strong>Osona</strong><strong>)</strong></p>
<p> </p>
<p>El Servei Català de Trànsit informa que aquest matí s’ha registrat un sinistre viari mortal a la C-25D, al quilòmetre 0.5, al terme municipal de Vic (Osona). Els Mossos d’Esquadra han rebut l’avís a les 06.19 h.</p>
<p>Per causes que encara s'estan investigant, s’ha produït una col·lisió entre un turisme i un camió. Com a conseqüència de l’accident, el conductor del turisme ha mort. Es tracta d’un home de 23 anys, C.C.S., veí de Prats de Lluçanès i de nacionalitat espanyola. En el turisme hi viatjaven dues persones més, que han resultat ferides: un home greu i un altre menys greu, ambdós traslladats a l’Hospital de Vic.</p>
<p>Arran de la incidència, s’han activat cinc patrulles dels Mossos d’Esquadra, tres dotacions dels Bombers de Generalitat, els quals han efectuat tasques d’excarceració, i tres ambulàncies i el servei de suport psicològic del  Sistema d’Emergències Mèdiques (SEM).</p>
<p>Pel que fa a l’afectació viària, la C-25D està tallada i també s’ha tallat l’accés i la sortida des de la C-25 (Eix Transversal).</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p> </p>
<p>27 de maig de 2018</p>
<p>11.15 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20180527_acc_C25D
587," Dimarts, 22 de maig de 2018", 08.28 ," C-65, al punt quilomètric 28,5, a Girona (Gironès)",22/05/2018,08:28,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>DIA: Dimarts, 22 de maig de 2018</strong><strong><br/> HORA D'AVÍS: 08.28 h</strong></p>
<p><strong>VIA: C-65, al punt quilomètric 28,5, a Girona (Gironès)</strong></p>
<p> </p>
<p> </p>
<p>El Servei Català de Trànsit informa que aquest matí s’ha registrat un sinistre viari mortal a la C-65, al punt quilòmetre 28,5, al terme municipal de Girona <strong>(Gironès). </strong>Els Mossos d’Esquadra han rebut l’avís a les 08.28 h.</p>
<p> </p>
<p>Per causes que encara s'estan investigant, s’ha produït una col·lisió entre un turisme i un camió. Com a conseqüència de l’accident, el conductor i únic ocupant del turisme ha mort. Es tracta d’un home de nacionalitat francesa.  </p>
<p> </p>
<p>Arran de la incidència, s’han activat cinc patrulles dels Mossos d’Esquadra, quatre dotacions dels Bombers de Generalitat i dues ambulàncies i l’helicòpter medicalitzat del Sistema d’Emergències Mèdiques.</p>
<p> </p>
<p>Pel que fa a l’afectació viària, la via s’ha tallat al trànsit i, posteriorment, s’han fet desviaments per l’interior de la població fins que ha quedat totalment restablerta a les 10.45 h aproximadament.</p>
<p> </p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p> </p>
<p>22 de maig de 2018</p>
<p>13.00 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20180522_c_65
588," Dissabte, 19 de maig de 2018", 21.05 ," Camí de l’Estela, al punt quilomètric 0,7, a Cistella (Alt Empordà)",20/05/2018,11:26,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>DIA: Dissabte, 19 de maig de 2018</strong></p>
<p><strong>HORA D'AVÍS: 21.05 h</strong></p>
<p><strong>VIA: Camí de l’Estela, al punt quilomètric 0,7, a Cistella (Alt Empordà)</strong></p>
<p> </p>
<p> </p>
<p>El Servei Català de Trànsit informa que ahir a la nit es va registrar un sinistre viari mortal a la zona d'un camí forestal, al Camí de l’Estela, al punt quilòmetre 0,7, al terme municipal de Cistella <strong>(Alt Empordà).</strong> Els Mossos d’Esquadra van rebre l’avís a les 21.05 h.</p>
<p> </p>
<p>Per causes que encara s'estan investigant, un quad va sortir de la via i va bolcar. Com a conseqüència de l’accident, el seu conductor va resultar ferit greu i el van traslladar a l’hospital Josep Trueta de Girona, on posteriorment va morir. Es tracta d’un home, N.P.N. de 25 anys, nacionalitat espanyola i veí d’Avinyonet de Puigventós.</p>
<p> </p>
<p>Arran de la incidència, es van activar tres patrulles dels Mossos d’Esquadra i dues ambulàncies del Sistema d’Emergències Mèdiques (SEM).</p>
<p> </p>
